ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Bioinformatics,,FOUND
2,Computational Biology,1,FOUND
3,Central Dogma,1,FOUND
4,DNA Structure,3,FOUND
5,RNA Structure,3,FOUND
6,Protein Structure,3,FOUND
7,Amino Acids,6,FOUND
8,Nucleotides,4|5,FOUND
9,Codons,8|18,FOUND
10,Gene,4,FOUND
11,Genome,10,FOUND
12,Transcription,4|5,FOUND
13,Translation,5|6|9,FOUND
14,Gene Expression,12|13,FOUND
15,Sequence Data,4|5|6,FOUND
16,Molecular Biology,3,FOUND
17,Cell Biology Basics,1,FOUND
18,Genetic Code,3,FOUND
19,Open Reading Frame,10|18,FOUND
20,Complementary Base Pairing,4|8,FOUND
21,Chromosomes,4|11,FOUND
22,Mutations,4|10,FOUND
23,Single Nucleotide Polymorphism,22,FOUND
24,Insertion and Deletion,22,FOUND
25,Structural Variant,22|21,FOUND
26,Copy Number Variation,25,FOUND
27,Epigenetics,14,FOUND
28,DNA Methylation,27|4,FOUND
29,Histone Modification,27|21,FOUND
30,Central Dogma Exceptions,3|12|13,FOUND
31,Biological Databases,15,DBAS
32,NCBI,31,DBAS
33,GenBank Database,32,DBAS
34,UniProt,31|6,DBAS
35,Swiss-Prot,34,DBAS
36,TrEMBL,34,DBAS
37,Protein Data Bank,31|6,DBAS
38,Ensembl,31|11,DBAS
39,KEGG Database,31,DBAS
40,Reactome Database,31,DBAS
41,BioGRID Database,31,DBAS
42,STRING Database,31,DBAS
43,IntAct Database,31,DBAS
44,COSMIC Database,31|22,DBAS
45,Gene Ontology Database,31|10,DBAS
46,Disease Ontology Database,31,DBAS
47,Human Phenotype Ontology DB,31,DBAS
48,BioCyc Database,31,DBAS
49,OMIM Database,31|22,DBAS
50,Hetionet Database,31,DBAS
51,Database Cross-References,31,DBAS
52,Programmatic Database Access,31,DBAS
53,REST APIs for Biology,52,DBAS
54,Batch Data Download,52,DBAS
55,Data Provenance,31,DBAS
56,FASTA Format,15,DFMT
57,FASTQ Format,56,DFMT
58,GenBank Format,33|56,DFMT
59,GFF3 Format,56|10,DFMT
60,OWL Format,56,DFMT
61,PDB File Format,37|56,DFMT
62,VCF Format,56|22,DFMT
63,SAM and BAM Format,56,DFMT
64,BED Format,56,DFMT
65,SBML Format,56,DFMT
66,BioPAX Format,56,DFMT
67,CSV for Bioinformatics,56,DFMT
68,JSON for Bioinformatics,56,DFMT
69,Data Format Conversion,56,DFMT
70,Data Quality Control,56|57,DFMT
71,Graph Theory,,GRTH
72,Nodes and Edges,71,GRTH
73,Directed Graphs,72,GRTH
74,Undirected Graphs,72,GRTH
75,Weighted Graphs,72,GRTH
76,Bipartite Graphs,72,GRTH
77,Labeled Property Graph,72,GRTH
78,Multigraph,72,GRTH
79,Hypergraph,72,GRTH
80,Subgraph,72,GRTH
81,Graph Properties,72,GRTH
82,Degree Distribution,81,GRTH
83,In-Degree,73|82,GRTH
84,Out-Degree,73|82,GRTH
85,Clustering Coefficient,81,GRTH
86,Centrality Measures,81,GRTH
87,Degree Centrality,86|82,GRTH
88,Betweenness Centrality,86|97,GRTH
89,Closeness Centrality,86|97,GRTH
90,Eigenvector Centrality,86,GRTH
91,PageRank,73|90,GRTH
92,Connected Components,81,GRTH
93,Strongly Connected Comp,73|92,GRTH
94,Graph Traversal,72,GRTH
95,Breadth-First Search,94,GRTH
